Category: All categories

Region,beautiful people ed sheeran: (9/15/18 - 9/15/19)
New Hampshire,100
Utah,70
District of Columbia,66
Massachusetts,65
Iowa,62
Idaho,61
Minnesota,61
Michigan,58
Washington,54
Tennessee,53
Nebraska,52
Pennsylvania,51
Maine,47
South Carolina,46
Wisconsin,46
Connecticut,45
New Jersey,42
Maryland,42
California,42
Arkansas,39
Ohio,37
Colorado,37
Indiana,35
Arizona,35
New York,35
Florida,34
Illinois,33
Missouri,33
Georgia,32
Texas,31
Virginia,31
Kansas,27
Kentucky,24
North Carolina,24
Mississippi,22
Alabama,22
Oregon,21
Oklahoma,21
Nevada,19
Vermont,
Hawaii,
Wyoming,
Rhode Island,
Montana,
Alaska,
Louisiana,
New Mexico,
West Virginia,
Delaware,
North Dakota,
South Dakota,
