Category: All categories

Region,goodbyes post malone: (9/15/18 - 9/15/19)
Delaware,100
South Dakota,98
Nebraska,97
Rhode Island,93
Wyoming,93
Utah,91
Montana,86
Wisconsin,85
Alaska,84
New Mexico,83
New Hampshire,81
Tennessee,80
Washington,78
Indiana,76
Pennsylvania,76
North Dakota,75
Hawaii,73
Iowa,71
Connecticut,71
Michigan,69
Texas,69
Arizona,69
Arkansas,69
Kentucky,69
Kansas,69
New Jersey,67
Missouri,66
Illinois,66
Colorado,66
Ohio,65
Minnesota,64
Alabama,64
New York,63
Virginia,63
Idaho,62
Maine,62
Georgia,62
Massachusetts,60
California,59
Maryland,57
North Carolina,57
Nevada,57
Oklahoma,56
Louisiana,55
South Carolina,54
Florida,53
Oregon,50
Mississippi,48
West Virginia,48
Vermont,
District of Columbia,
