Category: All categories

Region,lalala y2k: (9/15/18 - 9/15/19)
Oregon,100
Indiana,73
Texas,70
Pennsylvania,68
South Carolina,67
Massachusetts,67
Minnesota,66
New Jersey,66
Arizona,63
Michigan,59
Georgia,57
Colorado,54
California,54
Wisconsin,52
Missouri,52
Tennessee,52
New York,51
Washington,51
Illinois,50
Ohio,48
Florida,47
Virginia,43
North Carolina,42
Vermont,
Maine,
South Dakota,
New Mexico,
Wyoming,
Nebraska,
North Dakota,
Montana,
Connecticut,
Alaska,
Rhode Island,
Arkansas,
Hawaii,
Kansas,
Delaware,
Idaho,
Iowa,
Mississippi,
Alabama,
Nevada,
Kentucky,
Utah,
Oklahoma,
West Virginia,
New Hampshire,
District of Columbia,
Maryland,
Louisiana,
