Category: All categories

Region,ransom lil tecca: (9/15/18 - 9/15/19)
Maine,100
New Jersey,97
Massachusetts,93
Maryland,90
North Carolina,88
Connecticut,88
Rhode Island,85
South Carolina,85
New York,82
Pennsylvania,81
California,80
Arkansas,75
Georgia,73
Illinois,73
Iowa,72
Virginia,70
Washington,68
New Hampshire,67
Florida,65
New Mexico,65
Indiana,62
Missouri,62
Nevada,61
Wisconsin,61
Kansas,60
Alabama,60
Ohio,59
Minnesota,57
Arizona,57
Nebraska,54
Kentucky,54
Texas,53
Hawaii,52
Tennessee,50
Mississippi,50
Louisiana,48
Colorado,45
West Virginia,43
Michigan,43
Utah,40
Oregon,29
Oklahoma,25
Delaware,
Alaska,
Idaho,
Vermont,
South Dakota,
Wyoming,
District of Columbia,
Montana,
North Dakota,
