Category: All categories

Region,Senorita camila cabello shawn mendes: (9/15/18 - 9/15/19)
New Jersey,100
Massachusetts,97
California,78
Connecticut,76
New York,71
Arizona,68
Virginia,67
Michigan,64
Pennsylvania,61
Georgia,60
Washington,58
Colorado,58
Illinois,57
Texas,55
Ohio,49
North Carolina,48
Florida,47
Vermont,
Wyoming,
Alaska,
North Dakota,
Nevada,
District of Columbia,
Maine,
Oklahoma,
Montana,
Hawaii,
Maryland,
Delaware,
South Carolina,
Idaho,
Iowa,
Kentucky,
Wisconsin,
Utah,
Alabama,
Rhode Island,
New Mexico,
Minnesota,
West Virginia,
Kansas,
Oregon,
Nebraska,
New Hampshire,
Tennessee,
Indiana,
Louisiana,
Arkansas,
Missouri,
Mississippi,
South Dakota,
