Category: All categories

Region,take what you want post malone: (9/15/18 - 9/15/19)
Wyoming,100
Delaware,99
Idaho,93
West Virginia,83
Alaska,79
Rhode Island,78
North Dakota,70
South Dakota,67
Montana,54
Arkansas,40
New Mexico,37
Pennsylvania,37
Kentucky,37
Ohio,36
Texas,35
New Hampshire,34
Arizona,33
Colorado,33
Missouri,31
Georgia,31
Kansas,30
Nevada,29
Alabama,28
Tennessee,27
Massachusetts,27
Illinois,26
North Carolina,25
Indiana,25
New York,25
New Jersey,24
Louisiana,24
Utah,23
Florida,23
South Carolina,23
Oklahoma,23
Nebraska,23
Mississippi,22
Michigan,22
California,22
Oregon,21
Washington,21
Minnesota,21
Maryland,20
Iowa,17
Virginia,16
Wisconsin,16
Connecticut,11
Vermont,
District of Columbia,
Hawaii,
Maine,
