Category: All categories

Region,truth hurts lizzo: (9/15/18 - 9/15/19)
Minnesota,100
Nebraska,97
South Dakota,89
Louisiana,88
North Dakota,81
Delaware,80
Pennsylvania,80
Maine,80
Missouri,79
Tennessee,79
Iowa,77
West Virginia,77
Ohio,76
Indiana,74
Wisconsin,73
South Carolina,73
District of Columbia,71
Mississippi,71
Texas,70
Alabama,70
Montana,69
Kentucky,69
Michigan,69
Illinois,68
Virginia,68
Arkansas,68
Connecticut,67
Oklahoma,67
Georgia,66
Wyoming,65
North Carolina,65
Washington,64
Maryland,63
New Hampshire,62
Massachusetts,61
Vermont,60
New Mexico,60
Colorado,60
Arizona,59
Rhode Island,57
Oregon,56
Florida,56
New Jersey,54
New York,54
Hawaii,53
Nevada,53
California,52
Kansas,51
Utah,50
Idaho,48
Alaska,35
